date,hashtags,color,count
11/29/14 4:57,JuaraLagu,15,60
11/29/14 4:57,kembalikansemula,18,60
11/29/14 4:57,talentedsinger,44,60
11/29/14 5:25,EwalAF2014,4,62
11/29/14 5:25,JuaraLagu,15,62
11/29/14 5:25,kembalikansemula,18,62
11/29/14 5:25,talentedsinger,44,62
11/29/14 7:35,AMATFAMILY,1,53
11/29/14 8:17,TJ,46,50
11/29/14 8:25,llya,20,50
11/29/14 10:39,tubagusahmadrifai,47,41
